Palabra/Frase	NO5(Optimismo).NS5(Significado)
implicaciones	3.0
refinar	4.0
redacción	4.0
revisión	3.0
optimizar	4.0
esfuerzo	3.0
continua	3.0
adaptando	4.0
necesidades	3.0
estilo	3.0
individual	3.0
propósito	4.0
liderazgo	4.0
liberar	4.0
potencial	4.0
creativo	4.0
permitiéndole	4.0
enfocarse	3.0
elevadas	3.0
confianza	4.0
contar	3.0
inteligente	5.0
eficiente	4.0
materialización	4.0
resuena	3.0
percibes	3.0
dinámica	4.0
trabajo	3.0
ajustarla	3.0
mayor	3.0
precisión	4.0
observo	3.0
detalle	3.0
definido	3.0
roles	3.0
inclusión	4.0
entidades	3.0
específicas	3.0
clara	3.0
basándome	3.0
adición	2.0
sub-entidad	3.0
función	3.0
directamente	4.0
ligada	3.0
fundador	3.0
líder	4.0
fundación	3.0
